name,RA_ICRS,DE_ICRS,r50,r50_arcmin,rmax_arcmin,diamMAX_arcmin,N,pmRA,e_pmRA,pmDE,e_pmDE,Vr,e_Vr,Nvr,Plx,e_Plx,sigPM,flagdispPM,age,e_age,dist_iso,e_dist_iso,FeH,e_FeH,Av,e_Av,AG,e_AG,dist_PLX,e_dist_PLX,Diam_pc,DiamMax_pc,delta_dist,likelihood,BIC,prior_FEH,prior_AV,REF
Haffner_5,109.4881,-22.6581,0.061,3.635,10.393,20.785,191,0.974,0.13,-4.063,0.136,-7.181,0.359,7,0.57,0.054,0.188,1,9.714,0.072,1588,57,-0.103,0.107,0.808,0.134,0.85,0.333,1752,52,4,11,-164,-616.376,1253.761,1,1,1
Haffner_6,109.9975,-13.1536,0.049,2.919,13.406,26.812,189,-1.225,0.107,1.964,0.114,69.56,2.121,2,0.212,0.063,0.156,1,8.835,0.098,3860,134,-0.183,0.094,1.939,0.1,1.477,0.554,4891,589,9,39,-1031,-444.123,909.213,1,1,1
Haffner_7,110.7384,-29.5022,0.031,1.84,5.666,11.333,84,-1.55,0.119,2.923,0.131,,,0,0.196,0.057,0.177,1,8.856,0.076,3928,263,-0.13,0.178,0.842,0.121,0.754,0.351,5020,408,6,17,-1092,-392.172,802.068,1,1,1
Haffner_8,110.7839,-12.315,0.042,2.495,13.442,26.885,112,-1.634,0.108,0.447,0.096,61.879,0.404,2,0.311,0.054,0.145,1,8.457,0.319,2508,124,-0.078,0.098,1.293,0.142,1.197,0.407,3182,186,5,25,-674,-558.357,1135.589,1,1,1
Haffner_9,111.1734,-17.0016,0.036,2.149,7.861,15.722,140,-0.844,0.144,0.423,0.154,,,0,0.336,0.072,0.211,1,7.981,0.394,2604,248,-0.172,0.071,2.234,0.2,1.686,0.484,2971,160,4,14,-367,-338.448,696.662,1,1,1
Harvard_10,244.8556,-54.9475,0.306,18.353,50.916,101.833,164,-1.923,0.186,-10.571,0.189,-15.367,5.575,19,1.418,0.06,0.265,1,8.281,0.185,687,12,-0.004,0.104,0.554,0.101,0.453,0.221,705,8,8,21,-18,-503.379,1027.157,1,1,1
Harvard_13,255.9976,-48.0848,0.072,4.307,9.801,19.602,57,-2.751,0.134,-7.207,0.105,-3.499,0.791,11,0.806,0.036,0.17,1,9.049,0.058,1089,19,0.143,0.111,1.628,0.102,1.105,0.434,1238,24,4,8,-149,-606.228,1228.628,1,1,1
Harvard_16,262.7855,-36.8058,0.123,7.378,28.17,56.34,414,-0.65,0.194,-0.766,0.166,-23.357,0.434,2,0.622,0.077,0.255,1,7.365,0.04,1331,89,0.181,0.086,2.275,0.055,2.181,0.487,1604,49,7,27,-273,-455.652,935.407,1,1,1
Harvard_20,298.3209,18.3356,0.082,4.902,13.789,27.578,48,-1.734,0.094,-4.45,0.092,,,0,0.478,0.057,0.131,1,7.999,0.184,1912,97,0.005,0.117,0.889,0.061,0.798,0.315,2164,77,7,18,-252,-495.411,1006.307,1,1,1
Harvard_5,186.8164,-60.765,0.07,4.199,9.094,18.189,52,-7.062,0.117,-0.33,0.104,,,0,0.756,0.043,0.156,1,8.216,0.17,1177,58,0.078,0.136,0.759,0.087,0.712,0.196,1308,22,4,7,-131,-509.776,1035.358,1,1,1
