name,RA_ICRS,DE_ICRS,r50,r50_arcmin,rmax_arcmin,diamMAX_arcmin,N,pmRA,e_pmRA,pmDE,e_pmDE,Vr,e_Vr,Nvr,Plx,e_Plx,sigPM,flagdispPM,age,e_age,dist_iso,e_dist_iso,FeH,e_FeH,Av,e_Av,AG,e_AG,dist_PLX,e_dist_PLX,Diam_pc,DiamMax_pc,delta_dist,likelihood,BIC,prior_FEH,prior_AV,REF    
UBC433              ,   87.7067,   28.7143,   0.090,     5.404,       9.776,      19.552,     114,   0.298,   0.195,  -0.231,   0.172,     nan,     nan,       0,   0.181,   0.102,   0.260,       1,   9.082,   0.132,    4614,     204,  -0.351,   0.134,   1.815,   0.219,   0.943,   0.212,    5351,     957,      17,      31,    -737,    -292.300,     603.545,       1,       1,       1 
UBC435              ,   90.7183,   25.5052,   0.146,     8.783,      15.054,      30.108,     127,  -0.081,   0.183,  -1.630,   0.157,     nan,     nan,       0,   0.269,   0.081,   0.241,       1,   7.888,   0.741,    3118,     245,  -0.043,   0.135,   1.091,   0.322,   0.941,   0.276,    3632,     381,      19,      32,    -514,    -291.698,     602.773,       1,       1,       1 
UBC436              ,   94.9131,   26.2321,   0.115,     6.871,      13.547,      27.094,     102,  -0.343,   0.156,  -2.081,   0.178,     nan,     nan,       0,   0.281,   0.092,   0.237,       1,   8.794,   0.709,    3078,     403,  -0.110,   0.119,   1.092,   0.290,   0.939,   0.365,    3543,     304,      15,      28,    -465,    -258.079,     534.659,       1,       1,       1 
UBC437              ,   89.5422,   22.0599,   0.140,     8.409,      19.446,      38.892,      86,   0.150,   0.137,  -1.918,   0.138,     nan,     nan,       0,   0.470,   0.087,   0.194,       1,   7.904,   0.274,    1840,      87,  -0.100,   0.062,   1.847,   0.128,   1.553,   0.529,    2046,      86,      11,      24,    -206,    -371.725,     761.268,       1,       1,       1 
UBC438              ,   94.8212,   15.2945,   0.152,     9.110,      18.467,      36.934,     158,   0.135,   0.161,  -0.385,   0.156,  74.681,   0.805,       2,   0.184,   0.080,   0.225,       1,   6.701,   0.046,    4113,     328,   0.224,   0.205,   2.575,   0.037,   1.971,   0.308,    5164,     896,      28,      56,   -1051,    -361.987,     744.224,       1,       1,       1 
UBC439              ,   94.5458,   10.7662,   0.130,     7.808,      15.233,      30.465,      97,   0.443,   0.177,  -0.950,   0.167,     nan,     nan,       0,   0.282,   0.093,   0.243,       1,   8.447,   0.051,    2767,     112,  -0.146,   0.025,   1.395,   0.046,   1.152,   0.334,    3345,     348,      16,      30,    -578,    -287.731,     593.760,       1,       1,       1 
UBC442              ,  100.5758,   -4.6160,   0.062,     3.734,       9.207,      18.413,     102,   0.197,   0.188,  -0.226,   0.139,     nan,     nan,       0,   0.197,   0.110,   0.234,       1,   8.879,   0.082,    4607,     614,  -0.140,   0.168,   1.397,   0.154,   1.024,   0.471,    5066,     948,      12,      28,    -459,    -308.050,     634.599,       1,       1,       1 
UBC443              ,   98.6313,   -6.7953,   0.199,    11.932,      21.127,      42.253,     137,   0.228,   0.160,   0.082,   0.176,  25.029,   2.191,       2,   0.275,   0.083,   0.238,       1,   8.893,   0.640,    2704,     271,  -0.152,   0.115,   1.538,   0.228,   0.714,   0.369,    3489,     319,      25,      43,    -785,    -324.942,     669.563,       1,       1,       1 
UBC445              ,  108.4954,   -6.5904,   0.109,     6.543,      15.959,      31.918,      70,  -0.883,   0.112,  -1.325,   0.109,     nan,     nan,       0,   0.350,   0.066,   0.157,       1,   8.580,   0.221,    2656,     114,  -0.041,   0.062,   1.071,   0.126,   0.862,   0.267,    2883,     169,      11,      27,    -227,    -401.353,     819.700,       1,       1,       1 
UBC448              ,  113.5194,   -8.0798,   0.112,     6.732,      12.068,      24.135,     142,  -1.396,   0.176,   0.583,   0.167,     nan,     nan,       0,   0.269,   0.095,   0.242,       1,   8.582,   0.172,    2988,     129,  -0.097,   0.083,   0.580,   0.096,   0.454,   0.238,    3723,     364,      15,      27,    -735,    -234.004,     487.832,       1,       1,       1 
